Logitech International S.A.;LOGN;CH0025751329;Technology Hardware & Equipment
Lonza Group AG;LONN;CH0013841017;Pharmaceuticals & Biotechnology
Luzerner Kantonalbank AG;LUKN;CH0011693600;Banks
MCH Group AG;MCHN;CH0039542854;Support Services
Metall Zug AG;METN;CH0039821084;Household Goods
Meyer Burger Technology AG;MBTN;CH0108503795;Industrial Engineering
Mikron Holding AG;MIKN;CH0003390066;Industrial Engineering
mobilezone holding ag;MOZN;CH0276837694;General Retailers
Mobimo Holding AG;MOBN;CH0011108872;Real Estate
Molecular Partners AG;MOLN;CH0256379097;Pharmaceuticals & Biotechnology
Myriad Group AG;MYRN;CH0019624805;Software & Computer Services
NEBAG AG;NBEN;CH0005059438;General Financial
Nestlé AG;NESN;CH0038863350;Food Producers
New Value AG;NEWN;CH0010819867;General Financial
New Venturetec AG;NEV;CH0007036830;Equity Investment Instruments
Novartis AG;NOVN;CH0012005267;Pharmaceuticals & Biotechnology
OC Oerlikon Corporation AG;OERL;CH0000816824;Industrial Engineering
Orascom Development Holding AG;ODHN;CH0038285679;Real Estate
Orell Füssli Holding AG;OFN;CH0003420806;Media
Orior AG;ORON;CH0111677362;Food Producers
Panalpina Welttransport (Holding) AG;PWTN;CH0002168083;Industrial Transportation
Pargesa Holding SA;PARG;CH0021783391;General Financial
Partners Group Holding AG;PGHN;CH0024608827;General Financial
Peach Property Group AG;PEAN;CH0118530366;Real Estate
Perfect Holding SA, Lausanne;PRFN;CH0009115129;Industrial Transportation
Perrot Duval Holding SA;PEDU;CH0252620700;Industrial Engineering
Phoenix Mecano AG;PM;CH0002187810;Electronic & Electrical Equipment
PLAZZA AG;PLAN;CH0284142913;Real Estate
Poenina Holding AG;PNHO;CH0122527648;Not available
Private Equity Holding AG;PEHN;CH0006089921;Equity Investment Instruments
PSP Swiss Property AG;PSPN;CH0018294154;Real Estate
RELIEF THERAPEUTICS Holding AG;RLF;CH0100191136;Pharmaceuticals & Biotechnology
Rieter Holding AG;RIEN;CH0003671440;Industrial Engineering
Roche Holding AG;RO;CH0012032113;Pharmaceuticals & Biotechnology
Romande Energie Holding SA;HREN;CH0025607331;Electricity
Santhera Pharmaceuticals Holding AG;SANN;CH0027148649;Pharmaceuticals & Biotechnology
Schaffner Holding AG;SAHN;CH0009062099;Electronic & Electrical Equipment
Schindler Holding AG;SCHN;CH0024638212;Industrial Engineering
Schlatter Industries AG;STRN;CH0002277314;Industrial Engineering
SCHMOLZ+BICKENBACH AG;STLN;CH0005795668;Industrial Metals
Schweiter Technologies AG;SWTQ;CH0010754924;Industrial Engineering
Schweizerische Nationalbank;SNBN;CH0001319265;Banks
SFS Group AG;SFSN;CH0239229302;General Industrials
SGS AG;SGSN;CH0002497458;Support Services
Siegfried Holding AG;SFZN;CH0014284498;Pharmaceuticals & Biotechnology
Sika AG;SIK;CH0000587979;Construction & Materials
Sonova Holding AG;SOON;CH0012549785;Health Care Equipment & Services
Spice Private Equity AG;SPCE;CH0009153310;Equity Investment Instruments
St.Galler Kantonalbank AG;SGKN;CH0011484067;Banks
Starrag Group Holding AG;STGN;CH0002361068;Industrial Engineering
Straumann Holding AG;STMN;CH0012280076;Health Care Equipment & Services
Sulzer AG;SUN;CH0038388911;Industrial Engineering
Sunrise Communications Group AG;SRCG;CH0267291224;Fixed Line Telecommunications
Swiss Finance & Property Investment AG;SFPN;CH0032816131;Real Estate
Swiss Life Holding AG;SLHN;CH0014852781;Life Insurance
Swiss Prime Site AG;SPSN;CH0008038389;Real Estate
Swiss Re AG;SREN;CH0126881561;Nonlife Insurance
Swisscom AG;SCMN;CH0008742519;Fixed Line Telecommunications
Swissquote Group Holding Ltd;SQN;CH0010675863;General Financial
Syngenta AG;SYNN;CH0011037469;Chemicals
Tamedia AG;TAMN;CH0011178255;Media
Tecan Group AG;TECN;CH0012100191;Health Care Equipment & Services
Temenos Group AG;TEMN;CH0012453913;Software & Computer Services
The Swatch Group AG;UHR;CH0012255151;Personal Goods
Thurgauer Kantonalbank;TKBP;CH0231351104;Banks
Tornos Holding AG;TOHN;CH0011607683;Industrial Engineering
u-blox Holding AG;UBXN;CH0033361673;Technology Hardware & Equipment
UBS Group AG;UBSG;CH0244767585;Banks
Valartis Group AG;VLRT;CH0367427686;General Financial
Valiant Holding AG;VATN;CH0014786500;Banks
Valora Holding AG;VALN;CH0002088976;Food & Drug Retailers
Varia US Properties AG;VARN;CH0305285295;Real Estate
VAT Group AG;VACN;CH0311864901;Industrial Engineering
Vaudoise Assurances Holding SA;VAHN;CH0021545667;Nonlife Insurance
Vetropack Holding AG;VET;CH0006227612;General Industrials
Vifor Pharma AG;VIFN;CH0364749348;Pharmaceuticals & Biotechnology
Villars Holding S.A.;VILN;CH0002609656;General Retailers
Von Roll Holding AG;ROL;CH0003245351;Electronic & Electrical Equipment
Vontobel Holding AG;VONN;CH0012335540;Banks
VZ Holding AG;VZN;CH0028200837;General Financial
Walliser Kantonalbank;WKBN;CH0305951201;Banks
Walter Meier AG;WMN;CH0208062627;Support Services
Warteck Invest AG;WARN;CH0002619481;Real Estate
WISeKey International Holding Ltd;WIHN;CH0314029270;Software & Computer Services
Ypsomed Holding AG;YPSN;CH0019396990;Health Care Equipment & Services
Zehnder Group AG;ZEHN;CH0276534614;Construction & Materials
Züblin Immobilien Holding AG;ZUBN;CH0312309682;Real Estate
Zug Estates Holding AG;ZUGN;CH0148052126;Real Estate
Zuger Kantonalbank AG;ZG;CH0001308904;Banks
Zur Rose Group AG;ROSE;CH0042615283;Food & Drug Retailers
Zurich Insurance Group AG;ZURN;CH0011075394;Nonlife Insurance
Zwahlen & Mayr SA;ZWM;CH0002661731;Industrial Metals
